"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"France (FR)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","2562","555"
"France (FR)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","2514","378"
"France (FR)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","2602","200"
"France (FR)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","2676","390"
"France (FR)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","2662","238"
"France (FR)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","2642","120"
"France (FR)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","2597","191"
"France (FR)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","2730","267"
"France (FR)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","2847","562"
"France (FR)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","2881","533"
"France (FR)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","2757","388"
"France (FR)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","2801","386"
"France (FR)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","2836","818"
"France (FR)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","2763","173"
"France (FR)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","2703","89"
"France (FR)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","2758","711"
"France (FR)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","2919","1037"
"France (FR)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","3320","1258"
"France (FR)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","3444","1163"
"France (FR)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","3217","449"
"France (FR)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","3052","191"
"France (FR)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","2914","771"
"France (FR)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","2834","816"
"France (FR)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","2676","329"
"France (FR)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","2527","162"
"France (FR)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","2519","197"
"France (FR)","02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","2559","125"
"France (FR)","02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","2636","79"
"France (FR)","02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","2640","88"
"France (FR)","02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","2644","691"
"France (FR)","02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","2669","450"
"France (FR)","02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","2776","481"
"France (FR)","02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","2888","613"
"France (FR)","02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","3033","676"
"France (FR)","02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","3097","623"
"France (FR)","02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","3159","1179"
"France (FR)","02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","3045","974"
"France (FR)","02.01.2016 13:00 - 02.01.2016 14:00 (UTC)","2892","919"
"France (FR)","02.01.2016 14:00 - 02.01.2016 15:00 (UTC)","3055","917"
"France (FR)","02.01.2016 15:00 - 02.01.2016 16:00 (UTC)","3412","634"
"France (FR)","02.01.2016 16:00 - 02.01.2016 17:00 (UTC)","3774","970"
"France (FR)","02.01.2016 17:00 - 02.01.2016 18:00 (UTC)","4206","1811"
"France (FR)","02.01.2016 18:00 - 02.01.2016 19:00 (UTC)","4372","1409"
"France (FR)","02.01.2016 19:00 - 02.01.2016 20:00 (UTC)","3953","986"
"France (FR)","02.01.2016 20:00 - 02.01.2016 21:00 (UTC)","3547","832"
"France (FR)","02.01.2016 21:00 - 02.01.2016 22:00 (UTC)","3509","857"
"France (FR)","02.01.2016 22:00 - 02.01.2016 23:00 (UTC)","3514","971"
"France (FR)","02.01.2016 23:00 - 03.01.2016 00:00 (UTC)","3368","819"
"France (FR)","03.01.2016 00:00 - 03.01.2016 01:00 (UTC)","3243","547"
"France (FR)","03.01.2016 01:00 - 03.01.2016 02:00 (UTC)","3140","408"
"France (FR)","03.01.2016 02:00 - 03.01.2016 03:00 (UTC)","2910","108"
"France (FR)","03.01.2016 03:00 - 03.01.2016 04:00 (UTC)","2869","106"
"France (FR)","03.01.2016 04:00 - 03.01.2016 05:00 (UTC)","2866","106"
"France (FR)","03.01.2016 05:00 - 03.01.2016 06:00 (UTC)","2965","103"
"France (FR)","03.01.2016 06:00 - 03.01.2016 07:00 (UTC)","3139","96"
"France (FR)","03.01.2016 07:00 - 03.01.2016 08:00 (UTC)","3271","184"
"France (FR)","03.01.2016 08:00 - 03.01.2016 09:00 (UTC)","3443","354"
"France (FR)","03.01.2016 09:00 - 03.01.2016 10:00 (UTC)","3634","633"
"France (FR)","03.01.2016 10:00 - 03.01.2016 11:00 (UTC)","3692","650"
"France (FR)","03.01.2016 11:00 - 03.01.2016 12:00 (UTC)","3697","1359"
"France (FR)","03.01.2016 12:00 - 03.01.2016 13:00 (UTC)","3538","1366"
"France (FR)","03.01.2016 13:00 - 03.01.2016 14:00 (UTC)","3324","1080"
"France (FR)","03.01.2016 14:00 - 03.01.2016 15:00 (UTC)","3262","1117"
"France (FR)","03.01.2016 15:00 - 03.01.2016 16:00 (UTC)","3356","703"
"France (FR)","03.01.2016 16:00 - 03.01.2016 17:00 (UTC)","3744","1095"
"France (FR)","03.01.2016 17:00 - 03.01.2016 18:00 (UTC)","4279","2309"
"France (FR)","03.01.2016 18:00 - 03.01.2016 19:00 (UTC)","4504","2040"
"France (FR)","03.01.2016 19:00 - 03.01.2016 20:00 (UTC)","4167","1376"
"France (FR)","03.01.2016 20:00 - 03.01.2016 21:00 (UTC)","3981","783"
"France (FR)","03.01.2016 21:00 - 03.01.2016 22:00 (UTC)","3824","753"
"France (FR)","03.01.2016 22:00 - 03.01.2016 23:00 (UTC)","3588","940"
"France (FR)","03.01.2016 23:00 - 04.01.2016 00:00 (UTC)","3384","845"
"France (FR)","04.01.2016 00:00 - 04.01.2016 01:00 (UTC)","3210","709"
"France (FR)","04.01.2016 01:00 - 04.01.2016 02:00 (UTC)","3187","453"
"France (FR)","04.01.2016 02:00 - 04.01.2016 03:00 (UTC)","3237","297"
"France (FR)","04.01.2016 03:00 - 04.01.2016 04:00 (UTC)","3318","187"
"France (FR)","04.01.2016 04:00 - 04.01.2016 05:00 (UTC)","3528","218"
"France (FR)","04.01.2016 05:00 - 04.01.2016 06:00 (UTC)","3968","599"
"France (FR)","04.01.2016 06:00 - 04.01.2016 07:00 (UTC)","4550","912"
"France (FR)","04.01.2016 07:00 - 04.01.2016 08:00 (UTC)","5042","1458"
"France (FR)","04.01.2016 08:00 - 04.01.2016 09:00 (UTC)","5237","1825"
"France (FR)","04.01.2016 09:00 - 04.01.2016 10:00 (UTC)","5110","1516"
"France (FR)","04.01.2016 10:00 - 04.01.2016 11:00 (UTC)","5193","1980"
"France (FR)","04.01.2016 11:00 - 04.01.2016 12:00 (UTC)","5343","1923"
"France (FR)","04.01.2016 12:00 - 04.01.2016 13:00 (UTC)","5204","1591"
"France (FR)","04.01.2016 13:00 - 04.01.2016 14:00 (UTC)","5199","1327"
"France (FR)","04.01.2016 14:00 - 04.01.2016 15:00 (UTC)","5241","1153"
"France (FR)","04.01.2016 15:00 - 04.01.2016 16:00 (UTC)","5355","1460"
"France (FR)","04.01.2016 16:00 - 04.01.2016 17:00 (UTC)","5656","2351"
"France (FR)","04.01.2016 17:00 - 04.01.2016 18:00 (UTC)","6055","3347"
"France (FR)","04.01.2016 18:00 - 04.01.2016 19:00 (UTC)","5944","2853"
"France (FR)","04.01.2016 19:00 - 04.01.2016 20:00 (UTC)","5371","1612"
"France (FR)","04.01.2016 20:00 - 04.01.2016 21:00 (UTC)","4959","804"
"France (FR)","04.01.2016 21:00 - 04.01.2016 22:00 (UTC)","4830","869"
"France (FR)","04.01.2016 22:00 - 04.01.2016 23:00 (UTC)","4665","767"
"France (FR)","04.01.2016 23:00 - 05.01.2016 00:00 (UTC)","3987","349"
"France (FR)","05.01.2016 00:00 - 05.01.2016 01:00 (UTC)","3742","429"
"France (FR)","05.01.2016 01:00 - 05.01.2016 02:00 (UTC)","3540","530"
"France (FR)","05.01.2016 02:00 - 05.01.2016 03:00 (UTC)","3504","315"
"France (FR)","05.01.2016 03:00 - 05.01.2016 04:00 (UTC)","3483","264"
"France (FR)","05.01.2016 04:00 - 05.01.2016 05:00 (UTC)","3665","220"
"France (FR)","05.01.2016 05:00 - 05.01.2016 06:00 (UTC)","4143","625"
"France (FR)","05.01.2016 06:00 - 05.01.2016 07:00 (UTC)","4707","1291"
"France (FR)","05.01.2016 07:00 - 05.01.2016 08:00 (UTC)","5033","1821"
"France (FR)","05.01.2016 08:00 - 05.01.2016 09:00 (UTC)","5341","1799"
"France (FR)","05.01.2016 09:00 - 05.01.2016 10:00 (UTC)","5310","1725"
"France (FR)","05.01.2016 10:00 - 05.01.2016 11:00 (UTC)","5130","1507"
"France (FR)","05.01.2016 11:00 - 05.01.2016 12:00 (UTC)","4949","1403"
"France (FR)","05.01.2016 12:00 - 05.01.2016 13:00 (UTC)","4726","1167"
"France (FR)","05.01.2016 13:00 - 05.01.2016 14:00 (UTC)","4428","1041"
"France (FR)","05.01.2016 14:00 - 05.01.2016 15:00 (UTC)","4272","1036"
"France (FR)","05.01.2016 15:00 - 05.01.2016 16:00 (UTC)","4387","1257"
"France (FR)","05.01.2016 16:00 - 05.01.2016 17:00 (UTC)","4916","2317"
"France (FR)","05.01.2016 17:00 - 05.01.2016 18:00 (UTC)","5821","3767"
"France (FR)","05.01.2016 18:00 - 05.01.2016 19:00 (UTC)","5786","3286"
"France (FR)","05.01.2016 19:00 - 05.01.2016 20:00 (UTC)","5337","1848"
"France (FR)","05.01.2016 20:00 - 05.01.2016 21:00 (UTC)","4954","863"
"France (FR)","05.01.2016 21:00 - 05.01.2016 22:00 (UTC)","4835","615"
"France (FR)","05.01.2016 22:00 - 05.01.2016 23:00 (UTC)","4468","974"
"France (FR)","05.01.2016 23:00 - 06.01.2016 00:00 (UTC)","4127","783"
"France (FR)","06.01.2016 00:00 - 06.01.2016 01:00 (UTC)","3907","498"
"France (FR)","06.01.2016 01:00 - 06.01.2016 02:00 (UTC)","3946","738"
"France (FR)","06.01.2016 02:00 - 06.01.2016 03:00 (UTC)","3854","1009"
"France (FR)","06.01.2016 03:00 - 06.01.2016 04:00 (UTC)","3809","432"
"France (FR)","06.01.2016 04:00 - 06.01.2016 05:00 (UTC)","4037","562"
"France (FR)","06.01.2016 05:00 - 06.01.2016 06:00 (UTC)","4394","857"
"France (FR)","06.01.2016 06:00 - 06.01.2016 07:00 (UTC)","4931","2157"
"France (FR)","06.01.2016 07:00 - 06.01.2016 08:00 (UTC)","5145","2239"
"France (FR)","06.01.2016 08:00 - 06.01.2016 09:00 (UTC)","5185","2154"
"France (FR)","06.01.2016 09:00 - 06.01.2016 10:00 (UTC)","5321","2245"
"France (FR)","06.01.2016 10:00 - 06.01.2016 11:00 (UTC)","5350","2124"
"France (FR)","06.01.2016 11:00 - 06.01.2016 12:00 (UTC)","5171","1738"
"France (FR)","06.01.2016 12:00 - 06.01.2016 13:00 (UTC)","4934","1455"
"France (FR)","06.01.2016 13:00 - 06.01.2016 14:00 (UTC)","4913","1283"
"France (FR)","06.01.2016 14:00 - 06.01.2016 15:00 (UTC)","4832","1103"
"France (FR)","06.01.2016 15:00 - 06.01.2016 16:00 (UTC)","5007","1799"
"France (FR)","06.01.2016 16:00 - 06.01.2016 17:00 (UTC)","5609","3059"
"France (FR)","06.01.2016 17:00 - 06.01.2016 18:00 (UTC)","5979","3553"
"France (FR)","06.01.2016 18:00 - 06.01.2016 19:00 (UTC)","5868","2175"
"France (FR)","06.01.2016 19:00 - 06.01.2016 20:00 (UTC)","5174","1073"
"France (FR)","06.01.2016 20:00 - 06.01.2016 21:00 (UTC)","4968","637"
"France (FR)","06.01.2016 21:00 - 06.01.2016 22:00 (UTC)","4801","401"
"France (FR)","06.01.2016 22:00 - 06.01.2016 23:00 (UTC)","4629","429"
"France (FR)","06.01.2016 23:00 - 07.01.2016 00:00 (UTC)","4321","872"
"France (FR)","07.01.2016 00:00 - 07.01.2016 01:00 (UTC)","4158","1369"
"France (FR)","07.01.2016 01:00 - 07.01.2016 02:00 (UTC)","4024","1220"
"France (FR)","07.01.2016 02:00 - 07.01.2016 03:00 (UTC)","3900","548"
"France (FR)","07.01.2016 03:00 - 07.01.2016 04:00 (UTC)","3847","163"
"France (FR)","07.01.2016 04:00 - 07.01.2016 05:00 (UTC)","3961","306"
"France (FR)","07.01.2016 05:00 - 07.01.2016 06:00 (UTC)","4217","804"
"France (FR)","07.01.2016 06:00 - 07.01.2016 07:00 (UTC)","4664","1363"
"France (FR)","07.01.2016 07:00 - 07.01.2016 08:00 (UTC)","4795","1487"
"France (FR)","07.01.2016 08:00 - 07.01.2016 09:00 (UTC)","5176","1850"
"France (FR)","07.01.2016 09:00 - 07.01.2016 10:00 (UTC)","5539","2047"
