"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2016 00:00 - 01.01.2016 00:15 (UTC)","966","95"
"Germany (DE)","01.01.2016 00:15 - 01.01.2016 00:30 (UTC)","971","47"
"Germany (DE)","01.01.2016 00:30 - 01.01.2016 00:45 (UTC)","973","54"
"Germany (DE)","01.01.2016 00:45 - 01.01.2016 01:00 (UTC)","972","46"
"Germany (DE)","01.01.2016 01:00 - 01.01.2016 01:15 (UTC)","969","103"
"Germany (DE)","01.01.2016 01:15 - 01.01.2016 01:30 (UTC)","968","57"
"Germany (DE)","01.01.2016 01:30 - 01.01.2016 01:45 (UTC)","968","45"
"Germany (DE)","01.01.2016 01:45 - 01.01.2016 02:00 (UTC)","966","41"
"Germany (DE)","01.01.2016 02:00 - 01.01.2016 02:15 (UTC)","962","95"
"Germany (DE)","01.01.2016 02:15 - 01.01.2016 02:30 (UTC)","954","66"
"Germany (DE)","01.01.2016 02:30 - 01.01.2016 02:45 (UTC)","951","44"
"Germany (DE)","01.01.2016 02:45 - 01.01.2016 03:00 (UTC)","951","44"
"Germany (DE)","01.01.2016 03:00 - 01.01.2016 03:15 (UTC)","951","56"
"Germany (DE)","01.01.2016 03:15 - 01.01.2016 03:30 (UTC)","948","45"
"Germany (DE)","01.01.2016 03:30 - 01.01.2016 03:45 (UTC)","948","43"
"Germany (DE)","01.01.2016 03:45 - 01.01.2016 04:00 (UTC)","949","51"
"Germany (DE)","01.01.2016 04:00 - 01.01.2016 04:15 (UTC)","948","63"
"Germany (DE)","01.01.2016 04:15 - 01.01.2016 04:30 (UTC)","942","58"
"Germany (DE)","01.01.2016 04:30 - 01.01.2016 04:45 (UTC)","939","49"
"Germany (DE)","01.01.2016 04:45 - 01.01.2016 05:00 (UTC)","937","45"
"Germany (DE)","01.01.2016 05:00 - 01.01.2016 05:15 (UTC)","935","69"
"Germany (DE)","01.01.2016 05:15 - 01.01.2016 05:30 (UTC)","933","64"
"Germany (DE)","01.01.2016 05:30 - 01.01.2016 05:45 (UTC)","938","77"
"Germany (DE)","01.01.2016 05:45 - 01.01.2016 06:00 (UTC)","940","56"
"Germany (DE)","01.01.2016 06:00 - 01.01.2016 06:15 (UTC)","942","93"
"Germany (DE)","01.01.2016 06:15 - 01.01.2016 06:30 (UTC)","943","79"
"Germany (DE)","01.01.2016 06:30 - 01.01.2016 06:45 (UTC)","942","38"
"Germany (DE)","01.01.2016 06:45 - 01.01.2016 07:00 (UTC)","939","27"
"Germany (DE)","01.01.2016 07:00 - 01.01.2016 07:15 (UTC)","948","28"
"Germany (DE)","01.01.2016 07:15 - 01.01.2016 07:30 (UTC)","951","33"
"Germany (DE)","01.01.2016 07:30 - 01.01.2016 07:45 (UTC)","952","29"
"Germany (DE)","01.01.2016 07:45 - 01.01.2016 08:00 (UTC)","980","82"
"Germany (DE)","01.01.2016 08:00 - 01.01.2016 08:15 (UTC)","1010","63"
"Germany (DE)","01.01.2016 08:15 - 01.01.2016 08:30 (UTC)","1013","57"
"Germany (DE)","01.01.2016 08:30 - 01.01.2016 08:45 (UTC)","1011","31"
"Germany (DE)","01.01.2016 08:45 - 01.01.2016 09:00 (UTC)","1010","24"
"Germany (DE)","01.01.2016 09:00 - 01.01.2016 09:15 (UTC)","1004","23"
"Germany (DE)","01.01.2016 09:15 - 01.01.2016 09:30 (UTC)","1001","44"
