"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Romania (RO)","03.01.2016 22:00 - 03.01.2016 23:00 (UTC)","309","468"
"Romania (RO)","03.01.2016 23:00 - 04.01.2016 00:00 (UTC)","203","439"
"Romania (RO)","04.01.2016 00:00 - 04.01.2016 01:00 (UTC)","202","348"
"Romania (RO)","04.01.2016 01:00 - 04.01.2016 02:00 (UTC)","202","350"
"Romania (RO)","04.01.2016 02:00 - 04.01.2016 03:00 (UTC)","203","327"
"Romania (RO)","04.01.2016 03:00 - 04.01.2016 04:00 (UTC)","246","221"
"Romania (RO)","04.01.2016 04:00 - 04.01.2016 05:00 (UTC)","441","215"
"Romania (RO)","04.01.2016 05:00 - 04.01.2016 06:00 (UTC)","649","511"
"Romania (RO)","04.01.2016 06:00 - 04.01.2016 07:00 (UTC)","777","747"
"Romania (RO)","04.01.2016 07:00 - 04.01.2016 08:00 (UTC)","763","750"
"Romania (RO)","04.01.2016 08:00 - 04.01.2016 09:00 (UTC)","791","965"
"Romania (RO)","04.01.2016 09:00 - 04.01.2016 10:00 (UTC)","819","1064"
"Romania (RO)","04.01.2016 10:00 - 04.01.2016 11:00 (UTC)","889","1067"
"Romania (RO)","04.01.2016 11:00 - 04.01.2016 12:00 (UTC)","765","1282"
"Romania (RO)","04.01.2016 12:00 - 04.01.2016 13:00 (UTC)","724","1465"
"Romania (RO)","04.01.2016 13:00 - 04.01.2016 14:00 (UTC)","712","1432"
"Romania (RO)","04.01.2016 14:00 - 04.01.2016 15:00 (UTC)","806","1332"
"Romania (RO)","04.01.2016 15:00 - 04.01.2016 16:00 (UTC)","957","1581"
"Romania (RO)","04.01.2016 16:00 - 04.01.2016 17:00 (UTC)","990","1977"
"Romania (RO)","04.01.2016 17:00 - 04.01.2016 18:00 (UTC)","975","1935"
"Romania (RO)","04.01.2016 18:00 - 04.01.2016 19:00 (UTC)","959","1837"
"Romania (RO)","04.01.2016 19:00 - 04.01.2016 20:00 (UTC)","820","1547"
"Romania (RO)","04.01.2016 20:00 - 04.01.2016 21:00 (UTC)","717","1264"
"Romania (RO)","04.01.2016 21:00 - 04.01.2016 22:00 (UTC)","644","987"
"Romania (RO)","04.01.2016 22:00 - 04.01.2016 23:00 (UTC)","406","613"
"Romania (RO)","04.01.2016 23:00 - 05.01.2016 00:00 (UTC)","250","539"
"Romania (RO)","05.01.2016 00:00 - 05.01.2016 01:00 (UTC)","243","711"
"Romania (RO)","05.01.2016 01:00 - 05.01.2016 02:00 (UTC)","234","787"
"Romania (RO)","05.01.2016 02:00 - 05.01.2016 03:00 (UTC)","234","819"
"Romania (RO)","05.01.2016 03:00 - 05.01.2016 04:00 (UTC)","219","714"
"Romania (RO)","05.01.2016 04:00 - 05.01.2016 05:00 (UTC)","318","878"
"Romania (RO)","05.01.2016 05:00 - 05.01.2016 06:00 (UTC)","678","621"
"Romania (RO)","05.01.2016 06:00 - 05.01.2016 07:00 (UTC)","691","709"
"Romania (RO)","05.01.2016 07:00 - 05.01.2016 08:00 (UTC)","716","903"
"Romania (RO)","05.01.2016 08:00 - 05.01.2016 09:00 (UTC)","674","783"
"Romania (RO)","05.01.2016 09:00 - 05.01.2016 10:00 (UTC)","650","701"
"Romania (RO)","05.01.2016 10:00 - 05.01.2016 11:00 (UTC)","666","709"
"Romania (RO)","05.01.2016 11:00 - 05.01.2016 12:00 (UTC)","761","640"
"Romania (RO)","05.01.2016 12:00 - 05.01.2016 13:00 (UTC)","658","594"
"Romania (RO)","05.01.2016 13:00 - 05.01.2016 14:00 (UTC)","678","597"
"Romania (RO)","05.01.2016 14:00 - 05.01.2016 15:00 (UTC)","709","782"
"Romania (RO)","05.01.2016 15:00 - 05.01.2016 16:00 (UTC)","972","1237"
"Romania (RO)","05.01.2016 16:00 - 05.01.2016 17:00 (UTC)","897","1461"
"Romania (RO)","05.01.2016 17:00 - 05.01.2016 18:00 (UTC)","847","1079"
"Romania (RO)","05.01.2016 18:00 - 05.01.2016 19:00 (UTC)","903","874"
"Romania (RO)","05.01.2016 19:00 - 05.01.2016 20:00 (UTC)","898","724"
"Romania (RO)","05.01.2016 20:00 - 05.01.2016 21:00 (UTC)","863","541"
"Romania (RO)","05.01.2016 21:00 - 05.01.2016 22:00 (UTC)","647","463"
"Romania (RO)","05.01.2016 22:00 - 05.01.2016 23:00 (UTC)","367","556"
"Romania (RO)","05.01.2016 23:00 - 06.01.2016 00:00 (UTC)","375","559"
"Romania (RO)","06.01.2016 00:00 - 06.01.2016 01:00 (UTC)","285","520"
"Romania (RO)","06.01.2016 01:00 - 06.01.2016 02:00 (UTC)","220","352"
"Romania (RO)","06.01.2016 02:00 - 06.01.2016 03:00 (UTC)","211","353"
"Romania (RO)","06.01.2016 03:00 - 06.01.2016 04:00 (UTC)","206","389"
"Romania (RO)","06.01.2016 04:00 - 06.01.2016 05:00 (UTC)","356","482"
"Romania (RO)","06.01.2016 05:00 - 06.01.2016 06:00 (UTC)","569","639"
"Romania (RO)","06.01.2016 06:00 - 06.01.2016 07:00 (UTC)","584","788"
"Romania (RO)","06.01.2016 07:00 - 06.01.2016 08:00 (UTC)","620","794"
"Romania (RO)","06.01.2016 08:00 - 06.01.2016 09:00 (UTC)","652","830"
"Romania (RO)","06.01.2016 09:00 - 06.01.2016 10:00 (UTC)","697","779"
"Romania (RO)","06.01.2016 10:00 - 06.01.2016 11:00 (UTC)","707","837"
"Romania (RO)","06.01.2016 11:00 - 06.01.2016 12:00 (UTC)","717","801"
"Romania (RO)","06.01.2016 12:00 - 06.01.2016 13:00 (UTC)","671","733"
"Romania (RO)","06.01.2016 13:00 - 06.01.2016 14:00 (UTC)","630","639"
"Romania (RO)","06.01.2016 14:00 - 06.01.2016 15:00 (UTC)","613","617"
"Romania (RO)","06.01.2016 15:00 - 06.01.2016 16:00 (UTC)","792","711"
"Romania (RO)","06.01.2016 16:00 - 06.01.2016 17:00 (UTC)","867","764"
"Romania (RO)","06.01.2016 17:00 - 06.01.2016 18:00 (UTC)","996","690"
"Romania (RO)","06.01.2016 18:00 - 06.01.2016 19:00 (UTC)","1000","580"
"Romania (RO)","06.01.2016 19:00 - 06.01.2016 20:00 (UTC)","997","588"
"Romania (RO)","06.01.2016 20:00 - 06.01.2016 21:00 (UTC)","803","505"
"Romania (RO)","06.01.2016 21:00 - 06.01.2016 22:00 (UTC)","561","317"
"Romania (RO)","06.01.2016 22:00 - 06.01.2016 23:00 (UTC)","356","382"
"Romania (RO)","06.01.2016 23:00 - 07.01.2016 00:00 (UTC)","180","208"
"Romania (RO)","07.01.2016 00:00 - 07.01.2016 01:00 (UTC)","167","248"
"Romania (RO)","07.01.2016 01:00 - 07.01.2016 02:00 (UTC)","186","386"
"Romania (RO)","07.01.2016 02:00 - 07.01.2016 03:00 (UTC)","202","452"
"Romania (RO)","07.01.2016 03:00 - 07.01.2016 04:00 (UTC)","211","556"
"Romania (RO)","07.01.2016 04:00 - 07.01.2016 05:00 (UTC)","501","585"
"Romania (RO)","07.01.2016 05:00 - 07.01.2016 06:00 (UTC)","779","808"
"Romania (RO)","07.01.2016 06:00 - 07.01.2016 07:00 (UTC)","794","930"
"Romania (RO)","07.01.2016 07:00 - 07.01.2016 08:00 (UTC)","1001","1085"
"Romania (RO)","07.01.2016 08:00 - 07.01.2016 09:00 (UTC)","912","715"
"Romania (RO)","07.01.2016 09:00 - 07.01.2016 10:00 (UTC)","985","604"
"Romania (RO)","07.01.2016 10:00 - 07.01.2016 11:00 (UTC)","891","742"
"Romania (RO)","07.01.2016 11:00 - 07.01.2016 12:00 (UTC)","717","644"
"Romania (RO)","07.01.2016 12:00 - 07.01.2016 13:00 (UTC)","678","529"
"Romania (RO)","07.01.2016 13:00 - 07.01.2016 14:00 (UTC)","663","547"
"Romania (RO)","07.01.2016 14:00 - 07.01.2016 15:00 (UTC)","665","604"
"Romania (RO)","07.01.2016 15:00 - 07.01.2016 16:00 (UTC)","886","808"
"Romania (RO)","07.01.2016 16:00 - 07.01.2016 17:00 (UTC)","968","857"
"Romania (RO)","07.01.2016 17:00 - 07.01.2016 18:00 (UTC)","923","733"
"Romania (RO)","07.01.2016 18:00 - 07.01.2016 19:00 (UTC)","1021","772"
"Romania (RO)","07.01.2016 19:00 - 07.01.2016 20:00 (UTC)","1011","607"
"Romania (RO)","07.01.2016 20:00 - 07.01.2016 21:00 (UTC)","773","503"
"Romania (RO)","07.01.2016 21:00 - 07.01.2016 22:00 (UTC)","567","353"
"Romania (RO)","07.01.2016 22:00 - 07.01.2016 23:00 (UTC)","368","334"
