"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Czech Republic (CZ)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","107","32"
"Czech Republic (CZ)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","107","32"
"Czech Republic (CZ)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","108","31"
"Czech Republic (CZ)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","108","31"
"Czech Republic (CZ)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","104","42"
"Czech Republic (CZ)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","103","51"
"Czech Republic (CZ)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","112","41"
"Czech Republic (CZ)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","108","51"
"Czech Republic (CZ)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","110","44"
"Czech Republic (CZ)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","114","35"
"Czech Republic (CZ)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","110","34"
"Czech Republic (CZ)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","110","34"
"Czech Republic (CZ)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","108","34"
"Czech Republic (CZ)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","108","34"
"Czech Republic (CZ)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","110","34"
"Czech Republic (CZ)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","94","112"
"Czech Republic (CZ)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","95","117"
"Czech Republic (CZ)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","86","223"
"Czech Republic (CZ)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","82","307"
"Czech Republic (CZ)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","82","322"
"Czech Republic (CZ)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","80","239"
"Czech Republic (CZ)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","91","111"
"Czech Republic (CZ)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","92","102"
"Czech Republic (CZ)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","107","34"
"Czech Republic (CZ)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","107","33"
"Czech Republic (CZ)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","107","33"
"Czech Republic (CZ)","02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","107","33"
"Czech Republic (CZ)","02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","107","33"
"Czech Republic (CZ)","02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","104","44"
"Czech Republic (CZ)","02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","103","53"
"Czech Republic (CZ)","02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","112","41"
"Czech Republic (CZ)","02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","108","49"
"Czech Republic (CZ)","02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","110","42"
"Czech Republic (CZ)","02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","114","34"
"Czech Republic (CZ)","02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","110","34"
"Czech Republic (CZ)","02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","110","34"
"Czech Republic (CZ)","02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","108","34"
"Czech Republic (CZ)","02.01.2016 13:00 - 02.01.2016 14:00 (UTC)","108","34"
"Czech Republic (CZ)","02.01.2016 14:00 - 02.01.2016 15:00 (UTC)","96","100"
"Czech Republic (CZ)","02.01.2016 15:00 - 02.01.2016 16:00 (UTC)","93","115"
"Czech Republic (CZ)","02.01.2016 16:00 - 02.01.2016 17:00 (UTC)","85","226"
"Czech Republic (CZ)","02.01.2016 17:00 - 02.01.2016 18:00 (UTC)","82","305"
"Czech Republic (CZ)","02.01.2016 18:00 - 02.01.2016 19:00 (UTC)","86","221"
"Czech Republic (CZ)","02.01.2016 19:00 - 02.01.2016 20:00 (UTC)","85","235"
"Czech Republic (CZ)","02.01.2016 20:00 - 02.01.2016 21:00 (UTC)","88","130"
"Czech Republic (CZ)","02.01.2016 21:00 - 02.01.2016 22:00 (UTC)","91","110"
"Czech Republic (CZ)","02.01.2016 22:00 - 02.01.2016 23:00 (UTC)","103","45"
"Czech Republic (CZ)","02.01.2016 23:00 - 03.01.2016 00:00 (UTC)","107","33"
"Czech Republic (CZ)","03.01.2016 00:00 - 03.01.2016 01:00 (UTC)","107","33"
"Czech Republic (CZ)","03.01.2016 01:00 - 03.01.2016 02:00 (UTC)","107","32"
"Czech Republic (CZ)","03.01.2016 02:00 - 03.01.2016 03:00 (UTC)","108","31"
"Czech Republic (CZ)","03.01.2016 03:00 - 03.01.2016 04:00 (UTC)","108","31"
"Czech Republic (CZ)","03.01.2016 04:00 - 03.01.2016 05:00 (UTC)","104","42"
"Czech Republic (CZ)","03.01.2016 05:00 - 03.01.2016 06:00 (UTC)","103","51"
"Czech Republic (CZ)","03.01.2016 06:00 - 03.01.2016 07:00 (UTC)","112","39"
"Czech Republic (CZ)","03.01.2016 07:00 - 03.01.2016 08:00 (UTC)","108","49"
"Czech Republic (CZ)","03.01.2016 08:00 - 03.01.2016 09:00 (UTC)","110","42"
"Czech Republic (CZ)","03.01.2016 09:00 - 03.01.2016 10:00 (UTC)","112","42"
"Czech Republic (CZ)","03.01.2016 10:00 - 03.01.2016 11:00 (UTC)","107","42"
"Czech Republic (CZ)","03.01.2016 11:00 - 03.01.2016 12:00 (UTC)","110","34"
"Czech Republic (CZ)","03.01.2016 12:00 - 03.01.2016 13:00 (UTC)","108","34"
"Czech Republic (CZ)","03.01.2016 13:00 - 03.01.2016 14:00 (UTC)","108","34"
"Czech Republic (CZ)","03.01.2016 14:00 - 03.01.2016 15:00 (UTC)","95","100"
"Czech Republic (CZ)","03.01.2016 15:00 - 03.01.2016 16:00 (UTC)","93","114"
"Czech Republic (CZ)","03.01.2016 16:00 - 03.01.2016 17:00 (UTC)","95","116"
"Czech Republic (CZ)","03.01.2016 17:00 - 03.01.2016 18:00 (UTC)","86","221"
"Czech Republic (CZ)","03.01.2016 18:00 - 03.01.2016 19:00 (UTC)","82","317"
"Czech Republic (CZ)","03.01.2016 19:00 - 03.01.2016 20:00 (UTC)","82","330"
"Czech Republic (CZ)","03.01.2016 20:00 - 03.01.2016 21:00 (UTC)","88","131"
"Czech Republic (CZ)","03.01.2016 21:00 - 03.01.2016 22:00 (UTC)","91","109"
"Czech Republic (CZ)","03.01.2016 22:00 - 03.01.2016 23:00 (UTC)","106","37"
"Czech Republic (CZ)","03.01.2016 23:00 - 04.01.2016 00:00 (UTC)","105","33"
"Czech Republic (CZ)","04.01.2016 00:00 - 04.01.2016 01:00 (UTC)","106","33"
"Czech Republic (CZ)","04.01.2016 01:00 - 04.01.2016 02:00 (UTC)","106","33"
"Czech Republic (CZ)","04.01.2016 02:00 - 04.01.2016 03:00 (UTC)","106","33"
"Czech Republic (CZ)","04.01.2016 03:00 - 04.01.2016 04:00 (UTC)","106","33"
"Czech Republic (CZ)","04.01.2016 04:00 - 04.01.2016 05:00 (UTC)","102","44"
"Czech Republic (CZ)","04.01.2016 05:00 - 04.01.2016 06:00 (UTC)","101","53"
"Czech Republic (CZ)","04.01.2016 06:00 - 04.01.2016 07:00 (UTC)","110","42"
"Czech Republic (CZ)","04.01.2016 07:00 - 04.01.2016 08:00 (UTC)","97","98"
"Czech Republic (CZ)","04.01.2016 08:00 - 04.01.2016 09:00 (UTC)","98","95"
"Czech Republic (CZ)","04.01.2016 09:00 - 04.01.2016 10:00 (UTC)","100","87"
"Czech Republic (CZ)","04.01.2016 10:00 - 04.01.2016 11:00 (UTC)","95","89"
"Czech Republic (CZ)","04.01.2016 11:00 - 04.01.2016 12:00 (UTC)","94","99"
"Czech Republic (CZ)","04.01.2016 12:00 - 04.01.2016 13:00 (UTC)","94","90"
"Czech Republic (CZ)","04.01.2016 13:00 - 04.01.2016 14:00 (UTC)","92","98"
"Czech Republic (CZ)","04.01.2016 14:00 - 04.01.2016 15:00 (UTC)","94","95"
"Czech Republic (CZ)","04.01.2016 15:00 - 04.01.2016 16:00 (UTC)","83","219"
"Czech Republic (CZ)","04.01.2016 16:00 - 04.01.2016 17:00 (UTC)","85","214"
"Czech Republic (CZ)","04.01.2016 17:00 - 04.01.2016 18:00 (UTC)","81","293"
"Czech Republic (CZ)","04.01.2016 18:00 - 04.01.2016 19:00 (UTC)","79","350"
"Czech Republic (CZ)","04.01.2016 19:00 - 04.01.2016 20:00 (UTC)","83","248"
"Czech Republic (CZ)","04.01.2016 20:00 - 04.01.2016 21:00 (UTC)","81","200"
"Czech Republic (CZ)","04.01.2016 21:00 - 04.01.2016 22:00 (UTC)","84","159"
"Czech Republic (CZ)","04.01.2016 22:00 - 04.01.2016 23:00 (UTC)","84","159"
"Czech Republic (CZ)","04.01.2016 23:00 - 05.01.2016 00:00 (UTC)","94","14"
"Czech Republic (CZ)","05.01.2016 00:00 - 05.01.2016 01:00 (UTC)","94","13"
"Czech Republic (CZ)","05.01.2016 01:00 - 05.01.2016 02:00 (UTC)","94","13"
"Czech Republic (CZ)","05.01.2016 02:00 - 05.01.2016 03:00 (UTC)","94","13"
