"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Latvia (LV)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","n/e","1"
"Latvia (LV)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","n/e","0"
"Latvia (LV)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","n/e","0"
"Latvia (LV)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","n/e","0"
"Latvia (LV)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","n/e","0"
"Latvia (LV)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","n/e","0"
"Latvia (LV)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","n/e","0"
"Latvia (LV)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","n/e","16"
"Latvia (LV)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","n/e","17"
"Latvia (LV)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","n/e","17"
"Latvia (LV)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","n/e","1"
"Latvia (LV)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","n/e","17"
"Latvia (LV)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","n/e","17"
"Latvia (LV)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","n/e","17"
"Latvia (LV)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","n/e","20"
"Latvia (LV)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","n/e","107"
"Latvia (LV)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","n/e","100"
"Latvia (LV)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","n/e","65"
"Latvia (LV)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","n/e","63"
"Latvia (LV)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","n/e","8"
"Latvia (LV)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","n/e","17"
"Latvia (LV)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","n/e","16"
"Latvia (LV)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","n/e","0"
"Latvia (LV)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","n/e","0"
