"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Czech Republic (CZ)","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","107","33"
"Czech Republic (CZ)","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","107","32"
"Czech Republic (CZ)","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","107","32"
"Czech Republic (CZ)","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","108","31"
"Czech Republic (CZ)","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","108","31"
"Czech Republic (CZ)","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","104","42"
"Czech Republic (CZ)","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","103","51"
"Czech Republic (CZ)","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","112","41"
"Czech Republic (CZ)","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","108","51"
"Czech Republic (CZ)","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","110","44"
"Czech Republic (CZ)","01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","114","35"
"Czech Republic (CZ)","01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","110","34"
"Czech Republic (CZ)","01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","110","34"
"Czech Republic (CZ)","01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","108","34"
"Czech Republic (CZ)","01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST)","108","34"
"Czech Republic (CZ)","01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST)","110","34"
"Czech Republic (CZ)","01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST)","94","112"
"Czech Republic (CZ)","01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST)","95","117"
"Czech Republic (CZ)","01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST)","86","223"
"Czech Republic (CZ)","01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST)","82","307"
