"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"France (FR)","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","2778","511"
"France (FR)","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","2562","555"
"France (FR)","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","2514","378"
"France (FR)","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","2602","200"
"France (FR)","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","2676","390"
"France (FR)","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","2662","238"
"France (FR)","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","2642","120"
"France (FR)","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","2597","191"
"France (FR)","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","2730","267"
"France (FR)","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","2847","562"
"France (FR)","01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","2881","533"
"France (FR)","01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","2757","388"
"France (FR)","01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","2801","386"
"France (FR)","01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","2836","818"
"France (FR)","01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST)","2763","173"
"France (FR)","01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST)","2703","89"
"France (FR)","01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST)","2758","711"
"France (FR)","01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST)","2919","1037"
"France (FR)","01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST)","3320","1258"
"France (FR)","01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST)","3444","1163"
"France (FR)","01.01.2016 20:00 - 01.01.2016 21:00 (CET/CEST)","3217","449"
"France (FR)","01.01.2016 21:00 - 01.01.2016 22:00 (CET/CEST)","3052","191"
"France (FR)","01.01.2016 22:00 - 01.01.2016 23:00 (CET/CEST)","2914","771"
"France (FR)","01.01.2016 23:00 - 02.01.2016 00:00 (CET/CEST)","2834","816"
"France (FR)","02.01.2016 00:00 - 02.01.2016 01:00 (CET/CEST)","2676","329"
"France (FR)","02.01.2016 01:00 - 02.01.2016 02:00 (CET/CEST)","2527","162"
"France (FR)","02.01.2016 02:00 - 02.01.2016 03:00 (CET/CEST)","2519","197"
"France (FR)","02.01.2016 03:00 - 02.01.2016 04:00 (CET/CEST)","2559","125"
"France (FR)","02.01.2016 04:00 - 02.01.2016 05:00 (CET/CEST)","2636","79"
"France (FR)","02.01.2016 05:00 - 02.01.2016 06:00 (CET/CEST)","2640","88"
"France (FR)","02.01.2016 06:00 - 02.01.2016 07:00 (CET/CEST)","2644","691"
"France (FR)","02.01.2016 07:00 - 02.01.2016 08:00 (CET/CEST)","2669","450"
"France (FR)","02.01.2016 08:00 - 02.01.2016 09:00 (CET/CEST)","2776","481"
"France (FR)","02.01.2016 09:00 - 02.01.2016 10:00 (CET/CEST)","2888","613"
"France (FR)","02.01.2016 10:00 - 02.01.2016 11:00 (CET/CEST)","3033","676"
"France (FR)","02.01.2016 11:00 - 02.01.2016 12:00 (CET/CEST)","3097","623"
"France (FR)","02.01.2016 12:00 - 02.01.2016 13:00 (CET/CEST)","3159","1179"
"France (FR)","02.01.2016 13:00 - 02.01.2016 14:00 (CET/CEST)","3045","974"
"France (FR)","02.01.2016 14:00 - 02.01.2016 15:00 (CET/CEST)","2892","919"
"France (FR)","02.01.2016 15:00 - 02.01.2016 16:00 (CET/CEST)","3055","917"
"France (FR)","02.01.2016 16:00 - 02.01.2016 17:00 (CET/CEST)","3412","634"
