"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Spain (ES)","03.01.2016 22:00 - 03.01.2016 23:00 (UTC)","749","1307"
"Spain (ES)","03.01.2016 23:00 - 04.01.2016 00:00 (UTC)","734","900"
"Spain (ES)","04.01.2016 00:00 - 04.01.2016 01:00 (UTC)","738","870"
"Spain (ES)","04.01.2016 01:00 - 04.01.2016 02:00 (UTC)","751","817"
"Spain (ES)","04.01.2016 02:00 - 04.01.2016 03:00 (UTC)","752","837"
"Spain (ES)","04.01.2016 03:00 - 04.01.2016 04:00 (UTC)","747","780"
"Spain (ES)","04.01.2016 04:00 - 04.01.2016 05:00 (UTC)","750","1007"
"Spain (ES)","04.01.2016 05:00 - 04.01.2016 06:00 (UTC)","759","1249"
"Spain (ES)","04.01.2016 06:00 - 04.01.2016 07:00 (UTC)","764","2089"
"Spain (ES)","04.01.2016 07:00 - 04.01.2016 08:00 (UTC)","792","2098"
"Spain (ES)","04.01.2016 08:00 - 04.01.2016 09:00 (UTC)","821","3067"
"Spain (ES)","04.01.2016 09:00 - 04.01.2016 10:00 (UTC)","876","4542"
"Spain (ES)","04.01.2016 10:00 - 04.01.2016 11:00 (UTC)","914","4910"
"Spain (ES)","04.01.2016 11:00 - 04.01.2016 12:00 (UTC)","918","4700"
"Spain (ES)","04.01.2016 12:00 - 04.01.2016 13:00 (UTC)","925","4337"
"Spain (ES)","04.01.2016 13:00 - 04.01.2016 14:00 (UTC)","931","3987"
"Spain (ES)","04.01.2016 14:00 - 04.01.2016 15:00 (UTC)","927","3760"
"Spain (ES)","04.01.2016 15:00 - 04.01.2016 16:00 (UTC)","938","3622"
"Spain (ES)","04.01.2016 16:00 - 04.01.2016 17:00 (UTC)","948","5114"
"Spain (ES)","04.01.2016 17:00 - 04.01.2016 18:00 (UTC)","963","5600"
"Spain (ES)","04.01.2016 18:00 - 04.01.2016 19:00 (UTC)","963","4529"
"Spain (ES)","04.01.2016 19:00 - 04.01.2016 20:00 (UTC)","953","3671"
"Spain (ES)","04.01.2016 20:00 - 04.01.2016 21:00 (UTC)","957","3611"
"Spain (ES)","04.01.2016 21:00 - 04.01.2016 22:00 (UTC)","942","2428"
"Spain (ES)","04.01.2016 22:00 - 04.01.2016 23:00 (UTC)","934","1856"
"Spain (ES)","04.01.2016 23:00 - 05.01.2016 00:00 (UTC)","923","2053"
"Spain (ES)","05.01.2016 00:00 - 05.01.2016 01:00 (UTC)","914","2052"
"Spain (ES)","05.01.2016 01:00 - 05.01.2016 02:00 (UTC)","921","1901"
"Spain (ES)","05.01.2016 02:00 - 05.01.2016 03:00 (UTC)","925","1884"
"Spain (ES)","05.01.2016 03:00 - 05.01.2016 04:00 (UTC)","929","1865"
"Spain (ES)","05.01.2016 04:00 - 05.01.2016 05:00 (UTC)","935","1513"
"Spain (ES)","05.01.2016 05:00 - 05.01.2016 06:00 (UTC)","939","1934"
"Spain (ES)","05.01.2016 06:00 - 05.01.2016 07:00 (UTC)","944","2865"
"Spain (ES)","05.01.2016 07:00 - 05.01.2016 08:00 (UTC)","970","3449"
"Spain (ES)","05.01.2016 08:00 - 05.01.2016 09:00 (UTC)","1006","4275"
"Spain (ES)","05.01.2016 09:00 - 05.01.2016 10:00 (UTC)","1014","4688"
"Spain (ES)","05.01.2016 10:00 - 05.01.2016 11:00 (UTC)","1003","3873"
"Spain (ES)","05.01.2016 11:00 - 05.01.2016 12:00 (UTC)","1002","3182"
"Spain (ES)","05.01.2016 12:00 - 05.01.2016 13:00 (UTC)","984","2938"
"Spain (ES)","05.01.2016 13:00 - 05.01.2016 14:00 (UTC)","988","2976"
"Spain (ES)","05.01.2016 14:00 - 05.01.2016 15:00 (UTC)","992","3048"
"Spain (ES)","05.01.2016 15:00 - 05.01.2016 16:00 (UTC)","1005","3331"
"Spain (ES)","05.01.2016 16:00 - 05.01.2016 17:00 (UTC)","1025","3938"
"Spain (ES)","05.01.2016 17:00 - 05.01.2016 18:00 (UTC)","1058","4672"
"Spain (ES)","05.01.2016 18:00 - 05.01.2016 19:00 (UTC)","1063","4099"
"Spain (ES)","05.01.2016 19:00 - 05.01.2016 20:00 (UTC)","1024","3221"
"Spain (ES)","05.01.2016 20:00 - 05.01.2016 21:00 (UTC)","1000","2769"
"Spain (ES)","05.01.2016 21:00 - 05.01.2016 22:00 (UTC)","988","2753"
"Spain (ES)","05.01.2016 22:00 - 05.01.2016 23:00 (UTC)","969","2902"
"Spain (ES)","05.01.2016 23:00 - 06.01.2016 00:00 (UTC)","940","2504"
"Spain (ES)","06.01.2016 00:00 - 06.01.2016 01:00 (UTC)","930","2421"
"Spain (ES)","06.01.2016 01:00 - 06.01.2016 02:00 (UTC)","929","1929"
"Spain (ES)","06.01.2016 02:00 - 06.01.2016 03:00 (UTC)","930","1587"
"Spain (ES)","06.01.2016 03:00 - 06.01.2016 04:00 (UTC)","929","1500"
"Spain (ES)","06.01.2016 04:00 - 06.01.2016 05:00 (UTC)","926","1451"
"Spain (ES)","06.01.2016 05:00 - 06.01.2016 06:00 (UTC)","918","1439"
"Spain (ES)","06.01.2016 06:00 - 06.01.2016 07:00 (UTC)","920","1483"
"Spain (ES)","06.01.2016 07:00 - 06.01.2016 08:00 (UTC)","930","1500"
"Spain (ES)","06.01.2016 08:00 - 06.01.2016 09:00 (UTC)","951","2202"
"Spain (ES)","06.01.2016 09:00 - 06.01.2016 10:00 (UTC)","952","2412"
"Spain (ES)","06.01.2016 10:00 - 06.01.2016 11:00 (UTC)","949","2433"
"Spain (ES)","06.01.2016 11:00 - 06.01.2016 12:00 (UTC)","944","2538"
