"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"France (FR)","03.01.2015 19:00 - 03.01.2015 20:00 (CET/CEST)","4955","3060"
"France (FR)","03.01.2015 20:00 - 03.01.2015 21:00 (CET/CEST)","4582","1781"
"France (FR)","03.01.2015 21:00 - 03.01.2015 22:00 (CET/CEST)","4437","1072"
"France (FR)","03.01.2015 22:00 - 03.01.2015 23:00 (CET/CEST)","4676","1511"
"France (FR)","03.01.2015 23:00 - 04.01.2015 00:00 (CET/CEST)","4381","1414"
"France (FR)","04.01.2015 00:00 - 04.01.2015 01:00 (CET/CEST)","4125","663"
"France (FR)","04.01.2015 01:00 - 04.01.2015 02:00 (CET/CEST)","3831","467"
"France (FR)","04.01.2015 02:00 - 04.01.2015 03:00 (CET/CEST)","3575","304"
"France (FR)","04.01.2015 03:00 - 04.01.2015 04:00 (CET/CEST)","3313","152"
"France (FR)","04.01.2015 04:00 - 04.01.2015 05:00 (CET/CEST)","3291","174"
"France (FR)","04.01.2015 05:00 - 04.01.2015 06:00 (CET/CEST)","3380","181"
"France (FR)","04.01.2015 06:00 - 04.01.2015 07:00 (CET/CEST)","3480","144"
"France (FR)","04.01.2015 07:00 - 04.01.2015 08:00 (CET/CEST)","3734","142"
"France (FR)","04.01.2015 08:00 - 04.01.2015 09:00 (CET/CEST)","3924","269"
"France (FR)","04.01.2015 09:00 - 04.01.2015 10:00 (CET/CEST)","4252","256"
"France (FR)","04.01.2015 10:00 - 04.01.2015 11:00 (CET/CEST)","4662","508"
"France (FR)","04.01.2015 11:00 - 04.01.2015 12:00 (CET/CEST)","4944","741"
"France (FR)","04.01.2015 12:00 - 04.01.2015 13:00 (CET/CEST)","4981","1256"
"France (FR)","04.01.2015 13:00 - 04.01.2015 14:00 (CET/CEST)","4793","1420"
"France (FR)","04.01.2015 14:00 - 04.01.2015 15:00 (CET/CEST)","4693","624"
"France (FR)","04.01.2015 15:00 - 04.01.2015 16:00 (CET/CEST)","4574","493"
"France (FR)","04.01.2015 16:00 - 04.01.2015 17:00 (CET/CEST)","4624","551"
"France (FR)","04.01.2015 17:00 - 04.01.2015 18:00 (CET/CEST)","4926","1730"
"France (FR)","04.01.2015 18:00 - 04.01.2015 19:00 (CET/CEST)","5515","4598"
"France (FR)","04.01.2015 19:00 - 04.01.2015 20:00 (CET/CEST)","5677","5327"
"France (FR)","04.01.2015 20:00 - 04.01.2015 21:00 (CET/CEST)","5468","3517"
"France (FR)","04.01.2015 21:00 - 04.01.2015 22:00 (CET/CEST)","5268","1948"
"France (FR)","04.01.2015 22:00 - 04.01.2015 23:00 (CET/CEST)","5356","2337"
"France (FR)","04.01.2015 23:00 - 05.01.2015 00:00 (CET/CEST)","5445","2140"
"France (FR)","05.01.2015 00:00 - 05.01.2015 01:00 (CET/CEST)","5271","819"
"France (FR)","05.01.2015 01:00 - 05.01.2015 02:00 (CET/CEST)","5116","714"
"France (FR)","05.01.2015 02:00 - 05.01.2015 03:00 (CET/CEST)","5024","624"
"France (FR)","05.01.2015 03:00 - 05.01.2015 04:00 (CET/CEST)","4883","515"
"France (FR)","05.01.2015 04:00 - 05.01.2015 05:00 (CET/CEST)","4819","481"
"France (FR)","05.01.2015 05:00 - 05.01.2015 06:00 (CET/CEST)","4885","746"
"France (FR)","05.01.2015 06:00 - 05.01.2015 07:00 (CET/CEST)","5121","1773"
"France (FR)","05.01.2015 07:00 - 05.01.2015 08:00 (CET/CEST)","5624","3577"
"France (FR)","05.01.2015 08:00 - 05.01.2015 09:00 (CET/CEST)","5862","3751"
"France (FR)","05.01.2015 09:00 - 05.01.2015 10:00 (CET/CEST)","5940","3084"
"France (FR)","05.01.2015 10:00 - 05.01.2015 11:00 (CET/CEST)","5962","2928"
"France (FR)","05.01.2015 11:00 - 05.01.2015 12:00 (CET/CEST)","6131","2875"
"France (FR)","05.01.2015 12:00 - 05.01.2015 13:00 (CET/CEST)","6004","2916"
"France (FR)","05.01.2015 13:00 - 05.01.2015 14:00 (CET/CEST)","5779","2521"
"France (FR)","05.01.2015 14:00 - 05.01.2015 15:00 (CET/CEST)","5654","2574"
"France (FR)","05.01.2015 15:00 - 05.01.2015 16:00 (CET/CEST)","5539","1955"
"France (FR)","05.01.2015 16:00 - 05.01.2015 17:00 (CET/CEST)","5506","1914"
"France (FR)","05.01.2015 17:00 - 05.01.2015 18:00 (CET/CEST)","5960","6020"
"France (FR)","05.01.2015 18:00 - 05.01.2015 19:00 (CET/CEST)","6345","7334"
"France (FR)","05.01.2015 19:00 - 05.01.2015 20:00 (CET/CEST)","6420","7031"
"France (FR)","05.01.2015 20:00 - 05.01.2015 21:00 (CET/CEST)","6024","4701"
"France (FR)","05.01.2015 21:00 - 05.01.2015 22:00 (CET/CEST)","5629","2156"
"France (FR)","05.01.2015 22:00 - 05.01.2015 23:00 (CET/CEST)","5631","2898"
"France (FR)","05.01.2015 23:00 - 06.01.2015 00:00 (CET/CEST)","5691","3080"
"France (FR)","06.01.2015 00:00 - 06.01.2015 01:00 (CET/CEST)","5412","1707"
"France (FR)","06.01.2015 01:00 - 06.01.2015 02:00 (CET/CEST)","5214","1023"
"France (FR)","06.01.2015 02:00 - 06.01.2015 03:00 (CET/CEST)","5154","928"
"France (FR)","06.01.2015 03:00 - 06.01.2015 04:00 (CET/CEST)","5099","687"
"France (FR)","06.01.2015 04:00 - 06.01.2015 05:00 (CET/CEST)","4982","596"
"France (FR)","06.01.2015 05:00 - 06.01.2015 06:00 (CET/CEST)","4961","1077"
"France (FR)","06.01.2015 06:00 - 06.01.2015 07:00 (CET/CEST)","5155","2199"
"France (FR)","06.01.2015 07:00 - 06.01.2015 08:00 (CET/CEST)","5580","4474"
"France (FR)","06.01.2015 08:00 - 06.01.2015 09:00 (CET/CEST)","5857","4896"
"France (FR)","06.01.2015 09:00 - 06.01.2015 10:00 (CET/CEST)","6005","5571"
"France (FR)","06.01.2015 10:00 - 06.01.2015 11:00 (CET/CEST)","6101","5222"
"France (FR)","06.01.2015 11:00 - 06.01.2015 12:00 (CET/CEST)","6067","4532"
"France (FR)","06.01.2015 12:00 - 06.01.2015 13:00 (CET/CEST)","6009","4124"
"France (FR)","06.01.2015 13:00 - 06.01.2015 14:00 (CET/CEST)","5904","3101"
"France (FR)","06.01.2015 14:00 - 06.01.2015 15:00 (CET/CEST)","5681","2767"
"France (FR)","06.01.2015 15:00 - 06.01.2015 16:00 (CET/CEST)","5646","2788"
"France (FR)","06.01.2015 16:00 - 06.01.2015 17:00 (CET/CEST)","5512","2868"
"France (FR)","06.01.2015 17:00 - 06.01.2015 18:00 (CET/CEST)","5857","4796"
"France (FR)","06.01.2015 18:00 - 06.01.2015 19:00 (CET/CEST)","6322","6911"
"France (FR)","06.01.2015 19:00 - 06.01.2015 20:00 (CET/CEST)","6466","6790"
"France (FR)","06.01.2015 20:00 - 06.01.2015 21:00 (CET/CEST)","6061","4492"
"France (FR)","06.01.2015 21:00 - 06.01.2015 22:00 (CET/CEST)","5631","1957"
"France (FR)","06.01.2015 22:00 - 06.01.2015 23:00 (CET/CEST)","5557","2119"
"France (FR)","06.01.2015 23:00 - 07.01.2015 00:00 (CET/CEST)","5642","2049"
"France (FR)","07.01.2015 00:00 - 07.01.2015 01:00 (CET/CEST)","5444","1126"
"France (FR)","07.01.2015 01:00 - 07.01.2015 02:00 (CET/CEST)","5200","878"
"France (FR)","07.01.2015 02:00 - 07.01.2015 03:00 (CET/CEST)","5049","931"
"France (FR)","07.01.2015 03:00 - 07.01.2015 04:00 (CET/CEST)","4964","787"
"France (FR)","07.01.2015 04:00 - 07.01.2015 05:00 (CET/CEST)","4859","711"
"France (FR)","07.01.2015 05:00 - 07.01.2015 06:00 (CET/CEST)","4819","826"
"France (FR)","07.01.2015 06:00 - 07.01.2015 07:00 (CET/CEST)","5128","2960"
"France (FR)","07.01.2015 07:00 - 07.01.2015 08:00 (CET/CEST)","5649","5491"
"France (FR)","07.01.2015 08:00 - 07.01.2015 09:00 (CET/CEST)","6028","6609"
"France (FR)","07.01.2015 09:00 - 07.01.2015 10:00 (CET/CEST)","6198","5952"
"France (FR)","07.01.2015 10:00 - 07.01.2015 11:00 (CET/CEST)","6184","5281"
"France (FR)","07.01.2015 11:00 - 07.01.2015 12:00 (CET/CEST)","6034","4947"
"France (FR)","07.01.2015 12:00 - 07.01.2015 13:00 (CET/CEST)","6050","4506"
"France (FR)","07.01.2015 13:00 - 07.01.2015 14:00 (CET/CEST)","5832","3656"
"France (FR)","07.01.2015 14:00 - 07.01.2015 15:00 (CET/CEST)","5582","3013"
"France (FR)","07.01.2015 15:00 - 07.01.2015 16:00 (CET/CEST)","5542","2463"
"France (FR)","07.01.2015 16:00 - 07.01.2015 17:00 (CET/CEST)","5594","2644"
"France (FR)","07.01.2015 17:00 - 07.01.2015 18:00 (CET/CEST)","5737","5052"
"France (FR)","07.01.2015 18:00 - 07.01.2015 19:00 (CET/CEST)","6235","5790"
"France (FR)","07.01.2015 19:00 - 07.01.2015 20:00 (CET/CEST)","5984","4503"
"France (FR)","07.01.2015 20:00 - 07.01.2015 21:00 (CET/CEST)","5539","2237"
"France (FR)","07.01.2015 21:00 - 07.01.2015 22:00 (CET/CEST)","5243","1797"
"France (FR)","07.01.2015 22:00 - 07.01.2015 23:00 (CET/CEST)","5083","2284"
"France (FR)","07.01.2015 23:00 - 08.01.2015 00:00 (CET/CEST)","5095","2065"
"France (FR)","08.01.2015 00:00 - 08.01.2015 01:00 (CET/CEST)","4942","1442"
"France (FR)","08.01.2015 01:00 - 08.01.2015 02:00 (CET/CEST)","4732","1000"
