"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Italy (IT)","03.01.2016 21:00 - 03.01.2016 22:00 (UTC)","1443","54"
"Italy (IT)","03.01.2016 22:00 - 03.01.2016 23:00 (UTC)","1318","49"
"Italy (IT)","03.01.2016 23:00 - 04.01.2016 00:00 (UTC)","1207","30"
"Italy (IT)","04.01.2016 00:00 - 04.01.2016 01:00 (UTC)","1157","25"
"Italy (IT)","04.01.2016 01:00 - 04.01.2016 02:00 (UTC)","1061","22"
"Italy (IT)","04.01.2016 02:00 - 04.01.2016 03:00 (UTC)","1042","22"
"Italy (IT)","04.01.2016 03:00 - 04.01.2016 04:00 (UTC)","1048","22"
"Italy (IT)","04.01.2016 04:00 - 04.01.2016 05:00 (UTC)","1130","22"
"Italy (IT)","04.01.2016 05:00 - 04.01.2016 06:00 (UTC)","1162","61"
"Italy (IT)","04.01.2016 06:00 - 04.01.2016 07:00 (UTC)","1344","224"
"Italy (IT)","04.01.2016 07:00 - 04.01.2016 08:00 (UTC)","1705","606"
"Italy (IT)","04.01.2016 08:00 - 04.01.2016 09:00 (UTC)","2092","1085"
"Italy (IT)","04.01.2016 09:00 - 04.01.2016 10:00 (UTC)","2077","885"
"Italy (IT)","04.01.2016 10:00 - 04.01.2016 11:00 (UTC)","1873","998"
"Italy (IT)","04.01.2016 11:00 - 04.01.2016 12:00 (UTC)","1758","449"
"Italy (IT)","04.01.2016 12:00 - 04.01.2016 13:00 (UTC)","1665","376"
"Italy (IT)","04.01.2016 13:00 - 04.01.2016 14:00 (UTC)","1735","480"
"Italy (IT)","04.01.2016 14:00 - 04.01.2016 15:00 (UTC)","1993","652"
"Italy (IT)","04.01.2016 15:00 - 04.01.2016 16:00 (UTC)","2337","747"
"Italy (IT)","04.01.2016 16:00 - 04.01.2016 17:00 (UTC)","3496","1033"
"Italy (IT)","04.01.2016 17:00 - 04.01.2016 18:00 (UTC)","3675","1024"
"Italy (IT)","04.01.2016 18:00 - 04.01.2016 19:00 (UTC)","3575","767"
"Italy (IT)","04.01.2016 19:00 - 04.01.2016 20:00 (UTC)","2250","607"
"Italy (IT)","04.01.2016 20:00 - 04.01.2016 21:00 (UTC)","1948","413"
"Italy (IT)","04.01.2016 21:00 - 04.01.2016 22:00 (UTC)","1698","174"
"Italy (IT)","04.01.2016 22:00 - 04.01.2016 23:00 (UTC)","1480","164"
