"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","967","705"
"Portugal (PT)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","568","474"
"Portugal (PT)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","392","401"
"Portugal (PT)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","404","168"
"Portugal (PT)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","410","152"
"Portugal (PT)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","569","125"
"Portugal (PT)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","632","249"
"Portugal (PT)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","534","419"
"Portugal (PT)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","754","384"
"Portugal (PT)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","759","259"
"Portugal (PT)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","636","267"
"Portugal (PT)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","665","296"
"Portugal (PT)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","690","293"
"Portugal (PT)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","548","645"
"Portugal (PT)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","492","433"
"Portugal (PT)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","332","469"
"Portugal (PT)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","441","786"
"Portugal (PT)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","844","1184"
"Portugal (PT)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","1012","1240"
"Portugal (PT)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","997","1244"
"Portugal (PT)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","1072","1240"
"Portugal (PT)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","996","1245"
"Portugal (PT)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","1060","881"
"Portugal (PT)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","990","468"
"Portugal (PT)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","734","287"
"Portugal (PT)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","824","271"
"Portugal (PT)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","482","216"
"Portugal (PT)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","548","209"
"Portugal (PT)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","595","202"
"Portugal (PT)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","792","432"
"Portugal (PT)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","973","288"
"Portugal (PT)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","872","397"
"Portugal (PT)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","948","872"
"Portugal (PT)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","1063","1043"
"Portugal (PT)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","1075","1104"
"Portugal (PT)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","1154","1102"
"Portugal (PT)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","1153","966"
"Portugal (PT)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","1142","622"
"Portugal (PT)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","1203","645"
"Portugal (PT)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","1183","642"
"Portugal (PT)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","1135","647"
"Portugal (PT)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","1397","1178"
"Portugal (PT)","02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","1457","1177"
"Portugal (PT)","02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","1554","1179"
"Portugal (PT)","02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","1464","1169"
"Portugal (PT)","02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","1441","781"
"Portugal (PT)","02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","1399","632"
"Portugal (PT)","02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","990","454"
"Portugal (PT)","03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","587","255"
"Portugal (PT)","03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","551","137"
"Portugal (PT)","03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","439","133"
"Portugal (PT)","03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","409","133"
"Portugal (PT)","03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","644","124"
"Portugal (PT)","03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","671","146"
"Portugal (PT)","03.01.2015 06:00 - 03.01.2015 07:00 (UTC)","781","300"
"Portugal (PT)","03.01.2015 07:00 - 03.01.2015 08:00 (UTC)","890","475"
"Portugal (PT)","03.01.2015 08:00 - 03.01.2015 09:00 (UTC)","1076","626"
"Portugal (PT)","03.01.2015 09:00 - 03.01.2015 10:00 (UTC)","1188","1036"
"Portugal (PT)","03.01.2015 10:00 - 03.01.2015 11:00 (UTC)","1057","878"
"Portugal (PT)","03.01.2015 11:00 - 03.01.2015 12:00 (UTC)","1012","877"
