"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Czech Republic (CZ)","04.01.2015 13:00 - 04.01.2015 14:00 (CET/CEST)","97","48"
"Czech Republic (CZ)","04.01.2015 14:00 - 04.01.2015 15:00 (CET/CEST)","97","48"
"Czech Republic (CZ)","04.01.2015 15:00 - 04.01.2015 16:00 (CET/CEST)","98","47"
"Czech Republic (CZ)","04.01.2015 16:00 - 04.01.2015 17:00 (CET/CEST)","95","59"
"Czech Republic (CZ)","04.01.2015 17:00 - 04.01.2015 18:00 (CET/CEST)","83","567"
"Czech Republic (CZ)","04.01.2015 18:00 - 04.01.2015 19:00 (CET/CEST)","87","506"
"Czech Republic (CZ)","04.01.2015 19:00 - 04.01.2015 20:00 (CET/CEST)","95","197"
"Czech Republic (CZ)","04.01.2015 20:00 - 04.01.2015 21:00 (CET/CEST)","112","52"
"Czech Republic (CZ)","04.01.2015 21:00 - 04.01.2015 22:00 (CET/CEST)","100","55"
"Czech Republic (CZ)","04.01.2015 22:00 - 04.01.2015 23:00 (CET/CEST)","99","53"
"Czech Republic (CZ)","04.01.2015 23:00 - 05.01.2015 00:00 (CET/CEST)","97","47"
"Czech Republic (CZ)","05.01.2015 00:00 - 05.01.2015 01:00 (CET/CEST)","100","30"
"Czech Republic (CZ)","05.01.2015 01:00 - 05.01.2015 02:00 (CET/CEST)","100","32"
"Czech Republic (CZ)","05.01.2015 02:00 - 05.01.2015 03:00 (CET/CEST)","100","32"
"Czech Republic (CZ)","05.01.2015 03:00 - 05.01.2015 04:00 (CET/CEST)","100","32"
"Czech Republic (CZ)","05.01.2015 04:00 - 05.01.2015 05:00 (CET/CEST)","100","32"
"Czech Republic (CZ)","05.01.2015 05:00 - 05.01.2015 06:00 (CET/CEST)","100","32"
"Czech Republic (CZ)","05.01.2015 06:00 - 05.01.2015 07:00 (CET/CEST)","107","52"
"Czech Republic (CZ)","05.01.2015 07:00 - 05.01.2015 08:00 (CET/CEST)","110","52"
"Czech Republic (CZ)","05.01.2015 08:00 - 05.01.2015 09:00 (CET/CEST)","100","118"
"Czech Republic (CZ)","05.01.2015 09:00 - 05.01.2015 10:00 (CET/CEST)","94","186"
"Czech Republic (CZ)","05.01.2015 10:00 - 05.01.2015 11:00 (CET/CEST)","78","322"
"Czech Republic (CZ)","05.01.2015 11:00 - 05.01.2015 12:00 (CET/CEST)","78","277"
"Czech Republic (CZ)","05.01.2015 12:00 - 05.01.2015 13:00 (CET/CEST)","82","135"
"Czech Republic (CZ)","05.01.2015 13:00 - 05.01.2015 14:00 (CET/CEST)","94","57"
"Czech Republic (CZ)","05.01.2015 14:00 - 05.01.2015 15:00 (CET/CEST)","93","58"
"Czech Republic (CZ)","05.01.2015 15:00 - 05.01.2015 16:00 (CET/CEST)","77","211"
"Czech Republic (CZ)","05.01.2015 16:00 - 05.01.2015 17:00 (CET/CEST)","70","573"
"Czech Republic (CZ)","05.01.2015 17:00 - 05.01.2015 18:00 (CET/CEST)","82","580"
"Czech Republic (CZ)","05.01.2015 18:00 - 05.01.2015 19:00 (CET/CEST)","84","609"
"Czech Republic (CZ)","05.01.2015 19:00 - 05.01.2015 20:00 (CET/CEST)","87","409"
"Czech Republic (CZ)","05.01.2015 20:00 - 05.01.2015 21:00 (CET/CEST)","109","56"
"Czech Republic (CZ)","05.01.2015 21:00 - 05.01.2015 22:00 (CET/CEST)","100","50"
"Czech Republic (CZ)","05.01.2015 22:00 - 05.01.2015 23:00 (CET/CEST)","100","44"
"Czech Republic (CZ)","05.01.2015 23:00 - 06.01.2015 00:00 (CET/CEST)","96","45"
"Czech Republic (CZ)","06.01.2015 00:00 - 06.01.2015 01:00 (CET/CEST)","100","38"
"Czech Republic (CZ)","06.01.2015 01:00 - 06.01.2015 02:00 (CET/CEST)","104","23"
"Czech Republic (CZ)","06.01.2015 02:00 - 06.01.2015 03:00 (CET/CEST)","103","27"
"Czech Republic (CZ)","06.01.2015 03:00 - 06.01.2015 04:00 (CET/CEST)","104","23"
"Czech Republic (CZ)","06.01.2015 04:00 - 06.01.2015 05:00 (CET/CEST)","104","23"
"Czech Republic (CZ)","06.01.2015 05:00 - 06.01.2015 06:00 (CET/CEST)","102","29"
"Czech Republic (CZ)","06.01.2015 06:00 - 06.01.2015 07:00 (CET/CEST)","102","42"
"Czech Republic (CZ)","06.01.2015 07:00 - 06.01.2015 08:00 (CET/CEST)","108","54"
"Czech Republic (CZ)","06.01.2015 08:00 - 06.01.2015 09:00 (CET/CEST)","106","67"
"Czech Republic (CZ)","06.01.2015 09:00 - 06.01.2015 10:00 (CET/CEST)","88","126"
"Czech Republic (CZ)","06.01.2015 10:00 - 06.01.2015 11:00 (CET/CEST)","85","122"
"Czech Republic (CZ)","06.01.2015 11:00 - 06.01.2015 12:00 (CET/CEST)","85","121"
"Czech Republic (CZ)","06.01.2015 12:00 - 06.01.2015 13:00 (CET/CEST)","86","118"
"Czech Republic (CZ)","06.01.2015 13:00 - 06.01.2015 14:00 (CET/CEST)","86","118"
"Czech Republic (CZ)","06.01.2015 14:00 - 06.01.2015 15:00 (CET/CEST)","89","94"
"Czech Republic (CZ)","06.01.2015 15:00 - 06.01.2015 16:00 (CET/CEST)","97","48"
"Czech Republic (CZ)","06.01.2015 16:00 - 06.01.2015 17:00 (CET/CEST)","83","150"
"Czech Republic (CZ)","06.01.2015 17:00 - 06.01.2015 18:00 (CET/CEST)","74","566"
"Czech Republic (CZ)","06.01.2015 18:00 - 06.01.2015 19:00 (CET/CEST)","77","572"
"Czech Republic (CZ)","06.01.2015 19:00 - 06.01.2015 20:00 (CET/CEST)","77","547"
"Czech Republic (CZ)","06.01.2015 20:00 - 06.01.2015 21:00 (CET/CEST)","96","70"
"Czech Republic (CZ)","06.01.2015 21:00 - 06.01.2015 22:00 (CET/CEST)","95","59"
"Czech Republic (CZ)","06.01.2015 22:00 - 06.01.2015 23:00 (CET/CEST)","98","44"
"Czech Republic (CZ)","06.01.2015 23:00 - 07.01.2015 00:00 (CET/CEST)","98","45"
"Czech Republic (CZ)","07.01.2015 00:00 - 07.01.2015 01:00 (CET/CEST)","103","28"
"Czech Republic (CZ)","07.01.2015 01:00 - 07.01.2015 02:00 (CET/CEST)","102","31"
"Czech Republic (CZ)","07.01.2015 02:00 - 07.01.2015 03:00 (CET/CEST)","102","28"
"Czech Republic (CZ)","07.01.2015 03:00 - 07.01.2015 04:00 (CET/CEST)","102","31"
"Czech Republic (CZ)","07.01.2015 04:00 - 07.01.2015 05:00 (CET/CEST)","104","22"
"Czech Republic (CZ)","07.01.2015 05:00 - 07.01.2015 06:00 (CET/CEST)","103","26"
