"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Slovenia (SI)","03.01.2015 17:00 - 03.01.2015 18:00 (UTC)","575","n/e"
"Slovenia (SI)","03.01.2015 18:00 - 03.01.2015 19:00 (UTC)","594","n/e"
"Slovenia (SI)","03.01.2015 19:00 - 03.01.2015 20:00 (UTC)","555","n/e"
"Slovenia (SI)","03.01.2015 20:00 - 03.01.2015 21:00 (UTC)","379","n/e"
"Slovenia (SI)","03.01.2015 21:00 - 03.01.2015 22:00 (UTC)","263","n/e"
"Slovenia (SI)","03.01.2015 22:00 - 03.01.2015 23:00 (UTC)","212","n/e"
"Slovenia (SI)","03.01.2015 23:00 - 04.01.2015 00:00 (UTC)","160","n/e"
"Slovenia (SI)","04.01.2015 00:00 - 04.01.2015 01:00 (UTC)","111","n/e"
"Slovenia (SI)","04.01.2015 01:00 - 04.01.2015 02:00 (UTC)","80","n/e"
"Slovenia (SI)","04.01.2015 02:00 - 04.01.2015 03:00 (UTC)","80","n/e"
"Slovenia (SI)","04.01.2015 03:00 - 04.01.2015 04:00 (UTC)","79","n/e"
"Slovenia (SI)","04.01.2015 04:00 - 04.01.2015 05:00 (UTC)","81","n/e"
"Slovenia (SI)","04.01.2015 05:00 - 04.01.2015 06:00 (UTC)","147","n/e"
"Slovenia (SI)","04.01.2015 06:00 - 04.01.2015 07:00 (UTC)","268","n/e"
"Slovenia (SI)","04.01.2015 07:00 - 04.01.2015 08:00 (UTC)","291","n/e"
"Slovenia (SI)","04.01.2015 08:00 - 04.01.2015 09:00 (UTC)","314","n/e"
"Slovenia (SI)","04.01.2015 09:00 - 04.01.2015 10:00 (UTC)","348","n/e"
"Slovenia (SI)","04.01.2015 10:00 - 04.01.2015 11:00 (UTC)","381","n/e"
"Slovenia (SI)","04.01.2015 11:00 - 04.01.2015 12:00 (UTC)","400","n/e"
"Slovenia (SI)","04.01.2015 12:00 - 04.01.2015 13:00 (UTC)","383","n/e"
"Slovenia (SI)","04.01.2015 13:00 - 04.01.2015 14:00 (UTC)","403","n/e"
"Slovenia (SI)","04.01.2015 14:00 - 04.01.2015 15:00 (UTC)","444","n/e"
"Slovenia (SI)","04.01.2015 15:00 - 04.01.2015 16:00 (UTC)","465","n/e"
"Slovenia (SI)","04.01.2015 16:00 - 04.01.2015 17:00 (UTC)","675","n/e"
"Slovenia (SI)","04.01.2015 17:00 - 04.01.2015 18:00 (UTC)","644","n/e"
"Slovenia (SI)","04.01.2015 18:00 - 04.01.2015 19:00 (UTC)","709","n/e"
"Slovenia (SI)","04.01.2015 19:00 - 04.01.2015 20:00 (UTC)","664","n/e"
"Slovenia (SI)","04.01.2015 20:00 - 04.01.2015 21:00 (UTC)","624","n/e"
"Slovenia (SI)","04.01.2015 21:00 - 04.01.2015 22:00 (UTC)","480","n/e"
