"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2015 00:00 - 01.01.2015 00:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 00:30 - 01.01.2015 01:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 01:00 - 01.01.2015 01:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 01:30 - 01.01.2015 02:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 02:00 - 01.01.2015 02:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 02:30 - 01.01.2015 03:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 03:00 - 01.01.2015 03:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 03:30 - 01.01.2015 04:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 04:00 - 01.01.2015 04:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 04:30 - 01.01.2015 05:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 05:00 - 01.01.2015 05:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 05:30 - 01.01.2015 06:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 06:00 - 01.01.2015 06:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 06:30 - 01.01.2015 07:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 07:00 - 01.01.2015 07:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 07:30 - 01.01.2015 08:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 08:00 - 01.01.2015 08:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 08:30 - 01.01.2015 09:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 09:00 - 01.01.2015 09:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 09:30 - 01.01.2015 10:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 10:00 - 01.01.2015 10:30 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 10:30 - 01.01.2015 11:00 (UTC)","N/A","n/e"
"United Kingdom (UK)","01.01.2015 11:00 - 01.01.2015 11:30 (UTC)","N/A","n/e"
