"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","1238","10477"
"Norway (NO)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","1230","10123"
"Norway (NO)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","1232","9897"
"Norway (NO)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","1234","9697"
"Norway (NO)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","1228","9784"
"Norway (NO)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","1223","9885"
"Norway (NO)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","1233","9856"
"Norway (NO)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","1221","9972"
"Norway (NO)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","1227","9955"
"Norway (NO)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","1224","10188"
"Norway (NO)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","1225","10425"
"Norway (NO)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","1226","10511"
"Norway (NO)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","1232","10511"
"Norway (NO)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","1236","10960"
"Norway (NO)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","1226","11987"
"Norway (NO)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","1225","13154"
"Norway (NO)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","1230","13267"
"Norway (NO)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","1222","12704"
"Norway (NO)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","1223","12023"
"Norway (NO)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","1217","11492"
"Norway (NO)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","1220","10810"
"Norway (NO)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","1212","10387"
"Norway (NO)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","1213","9997"
"Norway (NO)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","1254","9449"
"Norway (NO)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","1258","9485"
"Norway (NO)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","1248","9214"
"Norway (NO)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","1239","8490"
"Norway (NO)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","1231","8031"
"Norway (NO)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","1228","9234"
"Norway (NO)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","1221","10390"
"Norway (NO)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","1228","12335"
"Norway (NO)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","1233","12760"
"Norway (NO)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","1247","12839"
"Norway (NO)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","1265","12980"
"Norway (NO)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","1266","13320"
"Norway (NO)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","1268","13405"
"Norway (NO)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","1258","13200"
"Norway (NO)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","1270","13282"
"Norway (NO)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","1272","13857"
"Norway (NO)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","1259","14466"
"Norway (NO)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","1263","14589"
"Norway (NO)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","1267","14268"
"Norway (NO)","02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","1273","14087"
"Norway (NO)","02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","1256","13015"
"Norway (NO)","02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","1259","12165"
"Norway (NO)","02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","1274","12105"
"Norway (NO)","02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","1265","11284"
"Norway (NO)","02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","1298","10569"
"Norway (NO)","03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","1297","10253"
"Norway (NO)","03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","1304","10175"
"Norway (NO)","03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","1315","10443"
"Norway (NO)","03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","1307","10450"
"Norway (NO)","03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","1303","10393"
"Norway (NO)","03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","1285","10426"
"Norway (NO)","03.01.2015 06:00 - 03.01.2015 07:00 (UTC)","1289","11254"
"Norway (NO)","03.01.2015 07:00 - 03.01.2015 08:00 (UTC)","1289","11910"
"Norway (NO)","03.01.2015 08:00 - 03.01.2015 09:00 (UTC)","1295","12905"
"Norway (NO)","03.01.2015 09:00 - 03.01.2015 10:00 (UTC)","1306","13878"
"Norway (NO)","03.01.2015 10:00 - 03.01.2015 11:00 (UTC)","1310","14068"
"Norway (NO)","03.01.2015 11:00 - 03.01.2015 12:00 (UTC)","1315","13896"
"Norway (NO)","03.01.2015 12:00 - 03.01.2015 13:00 (UTC)","1308","13893"
"Norway (NO)","03.01.2015 13:00 - 03.01.2015 14:00 (UTC)","1301","14590"
"Norway (NO)","03.01.2015 14:00 - 03.01.2015 15:00 (UTC)","1296","16339"
"Norway (NO)","03.01.2015 15:00 - 03.01.2015 16:00 (UTC)","1300","17581"
"Norway (NO)","03.01.2015 16:00 - 03.01.2015 17:00 (UTC)","1297","18176"
"Norway (NO)","03.01.2015 17:00 - 03.01.2015 18:00 (UTC)","1291","18097"
"Norway (NO)","03.01.2015 18:00 - 03.01.2015 19:00 (UTC)","1279","17120"
"Norway (NO)","03.01.2015 19:00 - 03.01.2015 20:00 (UTC)","1277","16005"
"Norway (NO)","03.01.2015 20:00 - 03.01.2015 21:00 (UTC)","1293","14884"
"Norway (NO)","03.01.2015 21:00 - 03.01.2015 22:00 (UTC)","1296","13727"
"Norway (NO)","03.01.2015 22:00 - 03.01.2015 23:00 (UTC)","1296","12650"
"Norway (NO)","03.01.2015 23:00 - 04.01.2015 00:00 (UTC)","1258","12473"
"Norway (NO)","04.01.2015 00:00 - 04.01.2015 01:00 (UTC)","1259","12121"
"Norway (NO)","04.01.2015 01:00 - 04.01.2015 02:00 (UTC)","1257","11756"
"Norway (NO)","04.01.2015 02:00 - 04.01.2015 03:00 (UTC)","1255","11572"
"Norway (NO)","04.01.2015 03:00 - 04.01.2015 04:00 (UTC)","1251","11498"
